公司全称,职位名称,薪资范围,公司规模,技能标签,公司行业,所需资历,公司位置,教育程度,公司地址
北京字节跳动科技有限公司,数据分析师,8k-16k,2000人以上,['编辑'],"移动互联网,数据服务",1-3年,徐汇区,本科,
广东省电信规划设计院有限公司,数据分析,7k-10k,2000人以上,"['SQL', 'SPSS', '数据库']","移动互联网,金融",1-3年,虹口区,本科,天潼路
美味不用等（上海）信息科技股份有限公司,数据分析师,15k-30k,500-2000人,"['SQLServer', '数据挖掘', '数据分析', '数据处理']","移动互联网,O2O",3-5年,浦东新区,本科,金科路
上海业霆网络科技有限公司,数据分析师,15k-30k,500-2000人,"['BI', '数据分析', 'SQL', '数据库']","移动互联网,教育",3-5年,静安区,本科,昌平路
浙江九翎网络科技有限公司上海分公司,数据分析师,6k-9k,150-500人,['数据分析'],游戏,1-3年,徐汇区,不限,虹漕路
华住酒店管理有限公司,数据分析师,12k-17k,2000人以上,['数据分析'],"旅游,生活服务",1-3年,闵行区,本科,漕河泾开发区
上海旖美信息技术有限公司,数据分析师,10k-15k,150-500人,['数据分析'],数据服务 金融,3-5年,徐汇区,本科,漕溪路
上海盛惜投资管理有限公司,数据分析师,20k-35k,50-150人,"['数据仓库', '数据分析']","移动互联网,金融",3-5年,黄浦区,本科,陆家浜路
上海云济信息科技有限公司,数据分析师,10k-20k,2000人以上,"['数据分析', 'BI', '数据库']","生活服务,金融",1-3年,杨浦区,本科,江浦公园
上海联元智能科技有限公司,数据分析师,15k-30k,50-150人,"['BI', '商业', '数据分析']","移动互联网,数据服务",3-5年,普陀区,本科,上海西站
上海袋虎信息技术有限公司,数据分析师（可视化）,10k-20k,150-500人,"['BI', '可视化', 'SPSS', '数据库']","移动互联网,医疗健康",3-5年,闵行区,本科,虹桥火车站
上海小牛互娱智能科技有限公司,数据分析师（实习）,4k-6k,500-2000人,"['分析师', '策略设计']",移动互联网,1年以下,浦东新区,本科,
上海奕己信息科技有限公司,数据分析师,8k-16k,15-50人,"['数据分析', 'SPSS']","移动互联网,社交网络",1-3年,松江区,大专,
上海美莱投资管理有限公司,数据分析主管,8k-13k,2000人以上,"['SEO', '数据分析', '运营']","医疗健康,电子商务",3-5年,长宁区,本科,交通大学
交银企业管理服务（上海）有限公司张江高科技园区分公司,数据分析经理（金融科技）,15k-30k,2000人以上,"['MySQL', '数据分析']","移动互联网,金融",5-10年,长宁区,本科,延安西路
北京字节跳动科技有限公司,数据分析师,15k-30k,2000人以上,['数据分析'],"移动互联网,数据服务",1-3年,徐汇区,本科,
上海小牛互娱智能科技有限公司,数据分析师,15k-25k,500-2000人,"['数据分析', '可视化', '商业']",移动互联网,3-5年,浦东新区,不限,
交银企业管理服务（上海）有限公司张江高科技园区分公司,资深数据分析经理,25k-50k,2000人以上,"['数据挖掘', '数据分析', '数据处理']","移动互联网,金融",5-10年,长宁区,本科,延安西路
世纪畅链有限责任公司,资深数据分析师,20k-30k,150-500人,"['数据分析', '数据仓库', '数据挖掘', '算法']",电子商务 金融,5-10年,杨浦区,本科,江湾体育场
上海晨之科信息技术有限公司,数据分析师（有游戏行业经验）,22k-40k,150-500人,"['SQL', '可视化']","移动互联网,游戏",5-10年,徐汇区,本科,虹漕路
上海业霆网络科技有限公司,初级数据分析师,7k-8k,500-2000人,"['数据分析', 'SQL']","移动互联网,教育",1-3年,闸北区,本科,昌平路
深圳虾皮信息科技有限公司,高级数据分析师,15k-20k,2000人以上,"['SQL', '数据分析', '可视化']",电子商务,3-5年,徐汇区,本科,东兰路
上海软科教育信息咨询有限公司,高级数据分析师（排名方向）,15k-30k,50-150人,['项目管理'],企业服务,不限,闵行区,博士,剑川路
上海臻汝网络科技有限公司,数据分析师(可视化方向)&nbsp;&nbsp;,8k-13k,50-150人,"['BI', '可视化', '数据分析']","教育,移动互联网",1-3年,杨浦区,本科,江浦公园
上海特思尔大宇宙商务咨询有限公司,数据分析师,10k-13k,500-2000人,"['数据分析', '网站分析']","电子商务,生活服务",3-5年,静安区,大专,淮海中路
深圳平安综合金融服务有限公司,信用卡研发-数据分析,20k-40k,2000人以上,[],"金融,数据服务",3-5年,浦东新区,本科,德平路
携程计算机技术（上海）有限公司,数据分析经理,20k-40k,2000人以上,"['BI', '数据分析', '数据库', 'DBA']","移动互联网,旅游",3-5年,长宁区,本科,淞虹路
永诚财产保险股份有限公司,数据分析岗,10k-20k,2000人以上,['数据分析'],"金融,移动互联网",5-10年,浦东新区,本科,后滩
上海二三四五网络科技有限公司,数据分析师（数据BP）(J11909),10k-15k,500-2000人,['数据分析'],"数据服务,移动互联网",1年以下,浦东新区,本科,华夏中路
上海星魄新能源科技有限公司,数据分析,18k-25k,少于15人,"['SQL', 'BI', '可视化']","企业服务,硬件",3-5年,浦东新区,本科,世纪公园
北京字节跳动科技有限公司,数据分析经理,20k-30k,2000人以上,[],"移动互联网,数据服务",3-5年,徐汇区,本科,
上海小牛互娱智能科技有限公司,数据分析实习生,2k-4k,500-2000人,"['可视化', '商业', '数据分析']",移动互联网,1年以下,浦东新区,本科,
上海业霆网络科技有限公司,市场数据分析师,10k-16k,500-2000人,['数据分析'],"移动互联网,教育",1-3年,静安区,本科,昌平路
深圳平安综合金融服务有限公司,12217U-数据分析岗,10k-15k,2000人以上,['数据分析'],"金融,数据服务",3-5年,浦东新区,本科,
上海诚米互联网金融信息服务有限公司,数据分析师,9k-15k,15-50人,"['数据分析', '数据库']","移动互联网,金融",1-3年,杨浦区,本科,新江湾城
上海准雀科技有限公司,数据分析师,10k-20k,50-150人,"['数据分析', 'SPSS']","数据服务,其他",1-3年,静安区,本科,延长路
上海软科教育信息咨询有限公司,高级数据分析师,15k-30k,50-150人,['数据分析'],企业服务,不限,闵行区,博士,剑川路
北京贵士信息科技有限公司,数据分析实习生,3k-5k,50-150人,[],"移动互联网,数据服务",应届毕业生,静安区,本科,昌平路
上海数禾信息科技有限公司,数据分析师,15k-30k,500-2000人,['数据分析'],"移动互联网,金融",3-5年,浦东新区,本科,金科路
上海汇付数据服务有限公司,数据分析,10k-20k,500-2000人,['SQL'],"移动互联网,金融",3-5年,徐汇区,本科,虹漕路
达疆网络科技（上海）有限公司,数据分析师,15k-25k,2000人以上,[],O2O,3-5年,浦东新区,本科,世纪大道
上海喔噻互联网科技有限公司,数据分析师（数据中心）,15k-25k,500-2000人,"['数据分析', '数据处理', 'SQLServer']",移动互联网,1-3年,普陀区,本科,大渡河路
上海陆家嘴国际金融资产交易市场股份有限公司,25210V-数据分析师,13k-26k,2000人以上,"['数据分析', '数据挖掘']",金融,3-5年,浦东新区,本科,国际客运中心
挖财网络技术有限公司,数据分析实习生 (MJ000998),2k-4k,500-2000人,['数据分析'],"移动互联网,金融",不限,浦东新区,不限,世纪大道
上海欢兽实业有限公司,数据分析（风控）,10k-20k,500-2000人,"['SQL', '数据分析']",电子商务,1-3年,静安区,本科,曲阜路
北京字节跳动科技有限公司,数据分析经理,30k-50k,2000人以上,['数据分析'],"移动互联网,数据服务",1-3年,徐汇区,本科,
完美世界（北京）软件科技发展有限公司,数据分析,15k-30k,2000人以上,[],"移动互联网,游戏",3-5年,杨浦区,本科,杨树浦路
上海基分文化传播有限公司,数据分析师(000935),20k-40k,500-2000人,['数据分析'],移动互联网,3-5年,浦东新区,本科,
武汉斗鱼网络科技有限公司,数据分析师,8k-12k,2000人以上,['分析'],移动互联网,3-5年,杨浦区,本科,杨树浦路
上海晶赞融宣科技有限公司,数据分析师,10k-20k,150-500人,"['商业', 'BI', '数据分析']","数据服务,文化娱乐",不限,闸北区,硕士,延长路
挖财网络技术有限公司,数据分析师 (MJ001038),15k-25k,500-2000人,['数据分析'],"移动互联网,金融",1-3年,浦东新区,不限,世纪公园
上海永辉云创科技有限公司,数据分析师,25k-40k,2000人以上,"['数据分析', 'SQL', '可视化', '数据库']","电子商务,O2O",3-5年,徐汇区,本科,虹梅路
上海亚朵商业管理（集团）股份有限公司,数据分析师,20k-25k,2000人以上,"['数据分析', 'BI', '商业']","旅游,生活服务",3-5年,闵行区,本科,漕河泾开发区
上海谨拍电子商务有限公司,数据分析师（互联网行业）,15k-22k,2000人以上,"['数据分析', '数据库', 'SQL']","移动互联网,电子商务",3-5年,闵行区,本科,龙柏新村
虎扑（上海）文化传播股份有限公司,数据分析师,20k-30k,150-500人,['数据分析'],"移动互联网,文化娱乐",3-5年,虹口区,本科,西藏北路
上海阑途信息技术有限公司,数据分析师,15k-20k,2000人以上,"['BI', '可视化', '数据分析', 'SQL']",移动互联网,1-3年,闵行区,本科,顾戴路
上海任意门科技有限公司,数据分析师,20k-40k,150-500人,['数据分析'],"社交网络,文化娱乐",3-5年,浦东新区,本科,世纪公园
神策网络科技（北京）有限公司,数据分析师-上海,15k-25k,150-500人,"['商业', 'BI', '可视化', '数据分析']",数据服务,3-5年,静安区,本科,曲阜路
上海别样秀数据科技有限公司,数据分析师,15k-25k,150-500人,"['数据挖掘', '数据分析']","移动互联网,电子商务",1-3年,浦东新区,本科,金科路
广州数说故事信息科技有限公司,数据分析师,10k-20k,150-500人,"['数据分析', 'SPSS']",数据服务,1-3年,杨浦区,本科,江浦公园
北京字节跳动科技有限公司,资深数据分析师,20k-40k,2000人以上,[],"移动互联网,数据服务",1-3年,黄浦区,本科,
虎扑（上海）文化传播股份有限公司,数据分析师（小回音APP）,10k-20k,150-500人,[],"移动互联网,文化娱乐",3-5年,虹口区,本科,
算话智能科技有限公司,大数据分析师,9k-18k,50-150人,['数据分析'],"数据服务,移动互联网",1-3年,长宁区,本科,江苏路
上海微知软件科技有限公司,数据分析师,15k-25k,150-500人,"['BI', '数据分析', 'SQL', '数据运营']","企业服务,数据服务",3-5年,静安区,本科,金沙江路
上海鸿研物流技术有限公司,数据分析师,20k-25k,150-500人,"['可视化', 'SQL', '数据分析', '数据库']",O2O,3-5年,闵行区,本科,东兰路
深圳市随手科技有限公司,数据分析师（上海）,13k-25k,500-2000人,['数据分析'],"移动互联网,金融",1-3年,浦东新区,本科,张江高科
精硕科技（北京）股份有限公司,数据分析师(J10156),5k-10k,500-2000人,[],数据服务,1年以下,普陀区,本科,大渡河路
飞友科技有限公司,（民航）数据分析师,10k-20k,150-500人,"['可视化', 'SPSS', '数据分析']",移动互联网,3-5年,浦东新区,硕士,
思凯思特（北京）科技有限公司,数据分析师,10k-20k,150-500人,"['SQL', '数据分析']","移动互联网,金融",1-3年,浦东新区,本科,世纪大道
杭州睿拓智能科技有限公司,数据分析师,11k-16k,50-150人,"['ETL', 'DB2', '数据分析']",人工智能,1-3年,杨浦区,本科,殷高东路
上海驰骛信息科技有限公司,数据分析师,15k-30k,50-150人,['数据分析'],"数据服务,移动互联网",3-5年,徐汇区,本科,虹梅路
上海宏路数据技术股份有限公司,数据分析师,8k-16k,50-150人,['数据分析'],移动互联网,1-3年,虹口区,本科,临平路
上海画龙信息科技有限公司,数据分析师,10k-20k,50-150人,"['数据分析', '数据运营', 'SQL', '数据库']","数据服务,广告营销",3-5年,徐汇区,本科,徐家汇
上海寻梦信息技术有限公司,数据分析师,15k-30k,2000人以上,[],"电子商务,移动互联网",3-5年,长宁区,本科,延安西路
上海艾天科技有限公司,数据分析师,10k-20k,15-50人,['数据分析'],"企业服务,数据服务",3-5年,浦东新区,不限,
北京字节跳动科技有限公司,商业化数据分析师,20k-40k,2000人以上,[],"移动互联网,数据服务",3-5年,徐汇区,本科,
算话智能科技有限公司,数据分析师,12k-16k,50-150人,"['SQL', '数据分析']","数据服务,移动互联网",1-3年,长宁区,本科,江苏路
上海驰骛信息科技有限公司,数据分析师（数据运营）,10k-20k,50-150人,"['数据分析', '数据运营', '数据库']","数据服务,移动互联网",3-5年,徐汇区,本科,虹梅路
上海寻梦信息技术有限公司,数据分析师,15k-30k,2000人以上,"['数据分析', 'Hive']","电子商务,移动互联网",不限,长宁区,本科,延安西路
上海番糖网络科技有限公司,数据分析师,8k-16k,50-150人,['内容'],游戏,1-3年,徐汇区,本科,徐家汇
上海你我贷互联网金融信息服务有限公司,数据分析师,20k-30k,2000人以上,"['数据分析', 'SQL']",金融,3-5年,浦东新区,本科,上海科技馆
北京至上泽思信息技术有限公司,数据分析师,15k-30k,50-150人,['数据分析'],"数据服务,企业服务",3-5年,黄浦区,本科,天潼路
上海脉豪商务信息咨询有限公司,数据分析师,8k-12k,150-500人,"['数据分析', 'SQL']","移动互联网,企业服务",1-3年,杨浦区,本科,临平路
上海小牛互娱智能科技有限公司,数据分析师（实习生）,4k-8k,500-2000人,"['SQL', '数据库', '数据分析']",移动互联网,1年以下,浦东新区,本科,
中诚信征信有限公司,数据分析师（风控建模方向-上海）,15k-30k,150-500人,"['Java', '数据分析']","数据服务,人工智能",1-3年,黄浦区,硕士,豫园
创络（上海）数据科技有限公司,大数据分析师,15k-25k,150-500人,"['商业', 'BI', '数据分析']","数据服务,广告营销",3-5年,徐汇区,本科,虹梅路
上海连享商务咨询有限公司,数据分析师,10k-20k,150-500人,"['数据分析', 'BI', '数据库', 'DBA']","移动互联网,O2O",1-3年,徐汇区,本科,东兰路
上海壹佰米网络科技有限公司,数据分析师,15k-30k,2000人以上,"['数据分析', '增长黑客', 'BI']",O2O,3-5年,浦东新区,本科,张江高科
申通快递有限公司,数据分析师,5k-10k,2000人以上,"['BI', '数据分析']",生活服务,不限,青浦区,大专,
华扬联众数字技术股份有限公司西安分公司,数据分析师,20k-35k,2000人以上,"['算法', '数据挖掘', 'Spark', 'Hive']","数据服务,文化娱乐",3-5年,黄浦区,本科,曲阜路
北京字节跳动科技有限公司,商业化数据分析师,15k-30k,2000人以上,['数据分析'],"移动互联网,数据服务",3-5年,徐汇区,本科,
上海寻梦信息技术有限公司,数据分析师（广告方向）,20k-40k,2000人以上,"['Hive', 'MySQL', '数据分析']","电子商务,移动互联网",3-5年,长宁区,本科,延安西路
上海小牛互娱智能科技有限公司,数据分析师,15k-30k,500-2000人,['数据分析'],移动互联网,3-5年,浦东新区,本科,
上海莉莉丝科技股份有限公司,数据分析师,12k-24k,150-500人,[],"移动互联网,游戏",1-3年,闵行区,本科,
哈步数据科技（上海）有限公司,数据分析师,10k-20k,50-150人,"['数据挖掘', '数据分析']",企业服务,1-3年,徐汇区,本科,
上海浦东发展银行股份有限公司信用卡中心,数据分析师,15k-25k,2000人以上,['Spark'],金融,1-3年,浦东新区,本科,上海科技馆
上海维信荟智金融科技有限公司,数据分析师（风险分析）,13k-16k,2000人以上,['数据挖掘'],金融,1-3年,虹口区,本科,曲阜路
即科金融信息服务（上海）有限公司,数据分析师,15k-25k,150-500人,"['商业', 'BI', '可视化', '数据分析']",金融,3-5年,杨浦区,本科,殷高东路
遨游酒店信息技术(深圳)有限责任公司,数据科学-数据分析,20k-40k,500-2000人,"['MySQL', '数据分析']",移动互联网,不限,杨浦区,不限,
彪洋科技（北京）有限公司,数据分析师-SH,8k-15k,150-500人,"['数据分析', 'SPSS']",移动互联网,1-3年,长宁区,本科,延安西路
上海麦图信息科技有限公司,数据分析师,10k-15k,15-50人,[],数据服务,不限,长宁区,本科,延安西路
上海驰骛信息科技有限公司,数据分析与运营,6k-10k,50-150人,"['数据分析', '数据运营']","数据服务,移动互联网",3-5年,徐汇区,本科,虹梅路
上海腾梭科技有限公司,高级风险建模 / 数据分析师,20k-40k,150-500人,['数据分析'],"金融,人工智能",3-5年,长宁区,本科,北新泾
上海钧正网络科技有限公司,数据分析师 (MJ003207),15k-25k,2000人以上,"['SPSS', 'SQL', '数据库', '数据分析']","移动互联网,硬件",不限,闵行区,不限,
行吟信息科技（上海）有限公司,数据分析师,15k-30k,500-2000人,[],"生活服务,电子商务",3-5年,黄浦区,本科,大世界
北京字节跳动科技有限公司,高级数据分析师,15k-30k,2000人以上,[],"移动互联网,数据服务",3-5年,徐汇区,硕士,
上海寻梦信息技术有限公司,数据分析师（风控方向）,20k-40k,2000人以上,"['SQL', '数据库']","电子商务,移动互联网",1-3年,长宁区,本科,延安西路
上海维信荟智金融科技有限公司,数据分析师（产品运营）,13k-18k,2000人以上,"['产品运营', '数据分析', '用户运营']",金融,1-3年,虹口区,本科,曲阜路
即科金融信息服务（上海）有限公司,数据分析师,10k-15k,150-500人,"['BI', '数据分析']",金融,1-3年,杨浦区,本科,
上海新享智云智能科技有限公司,大数据分析师,15k-30k,150-500人,[],"移动互联网,电子商务",3-5年,闵行区,本科,紫藤路
威比网络科技（上海）有限公司,数据分析师,6k-10k,2000人以上,['数据分析'],"移动互联网,教育",1-3年,虹口区,大专,临平路
百融金融信息服务股份有限公司,数据分析师,10k-20k,500-2000人,[],"金融,数据服务",应届毕业生,浦东新区,本科,世纪大道
北京至上泽思信息技术有限公司,数据分析师-业务分析方向,10k-15k,50-150人,['数据分析'],"数据服务,企业服务",1-3年,黄浦区,本科,天潼路
新浪时金（上海）信息技术有限公司,数据分析师,8k-15k,2000人以上,"['数据分析', 'SQL']",金融,1-3年,浦东新区,本科,高科西路
深圳市网新新思软件有限公司,数据分析师,9k-17k,500-2000人,['Python'],"移动互联网,企业服务",不限,浦东新区,硕士,陆家嘴
挖财网络技术有限公司,高级数据分析师 (MJ001016),15k-30k,500-2000人,['数据分析'],"移动互联网,金融",3-5年,浦东新区,本科,上海科技馆
上海华钦信息科技股份有限公司,数据分析师（英语好）,16k-24k,500-2000人,"['数据分析', 'SQL']","数据服务,金融",不限,黄浦区,硕士,豫园
上海你我贷互联网金融信息服务有限公司,数据分析师（用户行为分析） (MJ000598),15k-25k,2000人以上,"['MySQL', 'ETL']",金融,3-5年,浦东新区,本科,上海科技馆
上海钧正网络科技有限公司,数据分析,12k-20k,2000人以上,[],"移动互联网,硬件",1-3年,闵行区,本科,
拉扎斯网络科技（上海）有限公司,数据分析师（数据挖掘产品）,15k-30k,2000人以上,"['数据分析', 'SPSS']",移动互联网,1-3年,普陀区,本科,大渡河路
上海你我贷互联网金融信息服务有限公司,数据分析师 (MJ000489),15k-25k,2000人以上,"['数据分析', 'SQLServer']",金融,1-3年,浦东新区,本科,上海科技馆
证通股份有限公司,数据分析师,20k-35k,150-500人,['数据分析'],"移动互联网,金融",3-5年,浦东新区,本科,台儿庄路
上海浅橙网络科技有限公司,数据分析岗,6k-10k,150-500人,['数据分析'],"移动互联网,金融",1-3年,杨浦区,本科,江湾体育场
瓴里网络科技（上海）有限公司,数据分析师,13k-25k,50-150人,"['数据分析', 'SQL']",移动互联网,1-3年,长宁区,本科,水城路
上海哔哩哔哩科技有限公司,数据分析（生态运营） (MJ000121),15k-30k,2000人以上,['数据分析'],"移动互联网,文化娱乐",1-3年,杨浦区,本科,殷高东路
上海小牛互娱智能科技有限公司,数据分析师（实习生）,6k-8k,500-2000人,"['数据分析', 'MySQL']",移动互联网,1年以下,浦东新区,本科,
支付宝（杭州）信息技术有限公司,数据分析师,25k-50k,2000人以上,"['SQL', '增长黑客', '数据分析', '数据运营']","金融,移动互联网",5-10年,浦东新区,本科,浦东大道
上海前隆信息科技有限公司,数据分析师,15k-25k,500-2000人,"['BI', '数据分析', 'SPSS']",金融,1-3年,虹口区,本科,临平路
星环信息科技（上海）有限公司,数据分析师 (MJ000268),10k-20k,150-500人,['数据分析'],数据服务,不限,徐汇区,本科,虹漕路
上海西井信息科技有限公司,数据分析师,18k-25k,50-150人,"['BI', '可视化', '数据分析', '数据运营']","数据服务,硬件",不限,长宁区,硕士,延安西路
杭州观数信息科技有限公司,解决方案顾问/售前顾问 / 数据分析师,15k-30k,50-150人,['数据分析'],"企业服务,数据服务",3-5年,徐汇区,本科,虹梅路
思凯思特（北京）科技有限公司,数据分析/量化/模型实习生,5k-7k,150-500人,"['人工智能', '机器学习', '深度学习']","移动互联网,金融",不限,浦东新区,硕士,世纪大道
虎扑（上海）文化传播股份有限公司,数据分析工程师,15k-30k,150-500人,['数据分析'],"移动互联网,文化娱乐",3-5年,虹口区,本科,
北京至上泽思信息技术有限公司,初级数据分析师-数据分析与建模方向,20k-40k,50-150人,"['建模', '深度学习', '机器学习', '数据挖掘']","数据服务,企业服务",3-5年,黄浦区,本科,天潼路
同盾科技有限公司,数据分析师-杭州/上海-01685,10k-20k,500-2000人,"['信贷风险管理', '风控', '风险分析']","信息安全,数据服务",1-3年,徐汇区,不限,东安路
上海小牛互娱智能科技有限公司,数据分析师,20k-35k,500-2000人,"['商业', 'BI', '数据分析']",移动互联网,5-10年,浦东新区,本科,
上海你我贷互联网金融信息服务有限公司,数据分析师,12k-20k,2000人以上,"['数据分析', '商业', 'SQL', '数据运营']",金融,3-5年,浦东新区,本科,上海科技馆
爱海企业管理咨询（上海）有限公司,数据分析工程师,10k-18k,500-2000人,"['MySQL', 'ETL', '数据分析', '数据仓库']","移动互联网,O2O",不限,徐汇区,本科,
上海合合信息科技发展有限公司,数据分析工程师,10k-15k,150-500人,[],移动互联网,1-3年,静安区,本科,汶水路
圆通速递有限公司,数据分析工程师,12k-20k,2000人以上,"['BI', '数据分析', 'SQL']","企业服务,数据服务",1-3年,青浦区,本科,
桦洁商贸（上海）有限公司,数据分析/数据科学,10k-15k,150-500人,[],"电子商务,其他",1-3年,黄浦区,不限,淮海中路
上海基分文化传播有限公司,数据分析专家,30k-60k,500-2000人,['数据分析'],移动互联网,5-10年,浦东新区,本科,广兰路
上海阑途信息技术有限公司,资深数据分析师,20k-30k,2000人以上,"['SQL', 'BI', '可视化', '数据分析']",移动互联网,5-10年,闵行区,本科,顾戴路
算话智能科技有限公司,数据分析实习生,3k-5k,50-150人,['数据分析'],"数据服务,移动互联网",不限,长宁区,本科,江苏路
上海淡红金融科技有限公司,数据分析主管,20k-35k,500-2000人,"['数据挖掘', '数据分析']",其他,3-5年,长宁区,本科,北新泾
上海腾聘企业管理咨询有限公司,数据分析leader,35k-65k,50-150人,[],"移动互联网,数据服务",5-10年,浦东新区,本科,广兰路
北京斗米优聘科技发展有限公司,数据分析专员,6k-8k,500-2000人,[],"移动互联网,O2O",1-3年,普陀区,大专,长寿路
上海维信荟智金融科技有限公司,数据分析经理,25k-35k,2000人以上,"['数据分析', '数据处理']",金融,5-10年,虹口区,本科,曲阜路
上海科技发展有限公司,数据分析主管,20k-30k,15-50人,['数据分析'],数据服务,3-5年,徐汇区,本科,上海南站
上海客佳信息科技有限公司,数据分析工程师,10k-20k,50-150人,"['数据仓库', '数据分析']",O2O,1-3年,浦东新区,本科,华夏中路
上海阑途信息技术有限公司,资深数据分析师,20k-40k,2000人以上,"['BI', '可视化', '数据分析']",移动互联网,5-10年,闵行区,本科,顾戴路
